Date,Daily Fuel excluding Auxi,Theoretical Daily fuel from regression
8/11/2022,1772,1816.71241
9/11/2022,1141.752975,1095.383064
10/11/2022,1370.33475,1258.005756
11/11/2022,1030.274702,1177.988837
12/11/2022,1497.654233,1502.691866
13/11/2022,1323.148667,1202.024607
14/11/2022,1204.946151,1257.156462
15/11/2022,1427.319005,1581.941436
16/11/2022,719.224968,692.9346099
17/11/2022,1121.470959,1069.648707
18/11/2022,1245.677248,1354.537719
19/11/2022,1399.387172,1582.9442
20/11/2022,778.516074,735.1430385
21/11/2022,1475.823713,1272.474301
22/11/2022,1483.283571,1297.707276
23/11/2022,1466,1368.852794
,,
2/5/2023,1780,1485.910855
3/5/2023,1840,1540.387859
4/5/2023,1940,1663.002091
5/5/2023,990,651.8824145
6/5/2023,2128,1909.888171
7/5/2023,1932,1815.054795
8/5/2023,1610,1393.584388
9/5/2023,1788,1547.448176
